sucursal,id_distribuidor,id_asociado,ciclo_credito,pago_quincenal,inicio_credito,fin_credito,capital,interes,iva,seguro,tasa,tipo_producto,id_distribuidor_linea_de_credito,cerrado,ciclo_del_crédito,duracion_semanas,costos
CHALCO,125565,139614,1,445,2023-01-15,2023-05-31,3000.0,1243.2,198.91,400.0,162.56,LINEA,,SI,1,19.0,3631.050769230769
NEZAHUALCOYOTL,139409,139412,3,1110,2023-01-09,2023-06-15,14000.0,3239.13,518.26,464.0,132.0,PRESTAMO PERSONAL RED,115345.0,SI,3,22.0,15658.235384615386
VILLAHERMOSA,139418,139419,5,1909,2023-01-13,2023-08-15,25000.0,4766.85,762.7,480.0,110.0,PRESTAMO PERSONAL RED,93913.0,SI,5,31.0,28639.78923076923
TONALA,8514,139558,4,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,4,15.0,6675.573846153846
CHALCO,22763,139573,9,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,9,15.0,6675.573846153846
CHALCO,74349,139574,5,357,2023-01-15,2023-04-30,2000.0,708.14,113.3,224.0,178.27,LINEA,,SI,5,15.0,2444.8046153846153
CHIMALHUACAN 2,455,139575,8,750,2023-01-15,2023-06-30,6000.0,2583.78,413.4,540.0,141.92,LINEA,,SI,8,24.0,7068.666153846154
CHIMALHUACAN 2,116,139577,6,880,2023-01-15,2023-05-31,6000.0,2410.65,385.7,450.0,158.03,LINEA,,SI,6,19.0,6850.281538461539
CHIMALHUACAN 2,116,139578,6,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,6,15.0,6675.573846153846
CHALCO,35175,139579,4,880,2023-01-15,2023-05-31,6000.0,2410.65,385.7,450.0,158.03,LINEA,,SI,4,19.0,6850.281538461539
CHIMALHUACAN 2,17601,139581,4,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,4,15.0,6675.573846153846
ORIZABA,85655,139583,3,515,2023-01-15,2023-05-31,3500.0,1415.38,226.46,450.0,158.97,LINEA,,SI,3,19.0,4167.589230769231
CHIMALHUACAN 2,8632,139316,1,445,2023-01-15,2023-05-31,3000.0,1243.2,198.91,400.0,162.56,LINEA,,SI,1,19.0,3631.050769230769
VILLAHERMOSA,6379,139571,8,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,8,15.0,6675.573846153846
CHIMALHUACAN 2,17601,139582,1,535,2023-01-15,2023-04-30,3000.0,1101.23,176.2,320.0,178.64,LINEA,,SI,1,15.0,3502.496923076923
AMECAMECA,127416,139587,2,795,2023-01-15,2023-03-15,3000.0,839.82,134.37,200.0,210.42,LINEA,,SI,2,8.0,3277.527692307692
CHIMALHUACAN 2,87081,139593,4,595,2023-01-15,2023-08-31,6000.0,3029.27,484.68,720.0,124.6,LINEA,,SI,4,33.0,7461.758461538462
VILLAHERMOSA,36018,97042,3,617,2023-01-15,2023-05-31,5000.0,1007.02,161.12,0.0,83.0,PRESTAMO PERSONAL CLUB,,SI,3,19.0,5777.204615384615
NEZAHUALCOYOTL,92713,139489,2,375,2023-01-15,2023-06-30,3000.0,1289.59,206.33,480.0,141.69,LINEA,,SI,2,24.0,3791.743076923077
CHIMALHUACAN 2,116,139570,3,357,2023-01-15,2023-04-30,2000.0,732.5,117.2,224.0,178.27,LINEA,,SI,3,15.0,2444.8046153846153
CHALCO,5728,139589,3,750,2023-01-15,2023-06-30,6000.0,2461.97,393.92,540.0,141.92,LINEA,,SI,3,24.0,7068.666153846154
CHALCO,5728,139594,9,535,2023-01-15,2023-04-30,3000.0,1101.23,176.2,320.0,178.64,LINEA,,SI,9,15.0,3502.496923076923
CHIMALHUACAN 2,81739,139597,3,560,2023-01-15,2023-06-30,4500.0,1913.33,306.13,540.0,140.29,LINEA,,SI,3,24.0,5430.204615384616
NEZAHUALCOYOTL,74420,139598,5,670,2023-01-15,2023-07-31,6000.0,2806.53,449.04,630.0,136.61,LINEA,,SI,5,28.0,7243.373846153846
VILLAHERMOSA,16051,139599,6,750,2023-01-15,2023-08-15,6000.0,2583.78,413.4,540.0,141.92,LINEA,,SI,6,30.0,7330.727692307692
CHALCO,37724,139600,3,880,2023-01-15,2023-05-31,6000.0,2253.04,360.49,450.0,158.03,LINEA,,SI,3,19.0,6850.281538461539
NEZAHUALCOYOTL,112156,139601,2,795,2023-01-15,2023-04-30,4500.0,1599.98,256.0,360.0,173.45,LINEA,,SI,2,15.0,5089.035384615385
ORIZABA,85209,139602,4,750,2023-01-15,2023-06-30,6000.0,2583.78,413.4,540.0,141.92,LINEA,,SI,4,24.0,7068.666153846154
TONALA,4913,139547,3,750,2023-01-15,2023-06-30,6000.0,2461.97,393.92,540.0,141.92,LINEA,,SI,3,24.0,7068.666153846154
CHIMALHUACAN 2,45740,139572,1,535,2023-01-15,2023-04-30,3000.0,1101.23,176.2,320.0,178.64,LINEA,,SI,1,15.0,3502.496923076923
COATZACOALCOS,72893,139604,2,312,2023-01-15,2023-06-30,2500.0,1064.21,170.27,396.0,140.44,LINEA,,SI,2,24.0,3245.589230769231
VILLAHERMOSA,70602,139605,4,880,2023-01-15,2023-05-31,6000.0,2410.65,385.7,450.0,158.03,LINEA,,SI,4,19.0,6850.281538461539
NEZAHUALCOYOTL,139409,139414,3,800,2023-01-09,2023-06-15,10000.0,2407.35,385.18,464.0,137.0,PRESTAMO PERSONAL RED,115342.0,SI,3,22.0,11319.773846153847
NEZAHUALCOYOTL,139409,139490,1,484,2023-01-09,2023-06-15,6000.0,1500.83,240.13,464.0,142.0,PRESTAMO PERSONAL RED,139215.0,SI,1,22.0,6981.3123076923075
NEZAHUALCOYOTL,139409,139491,1,484,2023-01-09,2023-06-15,6000.0,1500.83,240.13,464.0,142.0,PRESTAMO PERSONAL RED,139211.0,SI,1,22.0,6981.3123076923075
NEZAHUALCOYOTL,139409,139492,1,484,2023-01-09,2023-06-15,6000.0,1500.83,240.13,464.0,142.0,PRESTAMO PERSONAL RED,139351.0,SI,1,22.0,6981.3123076923075
CHIMALHUACAN 2,116,139576,16,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,16,15.0,6675.573846153846
NEZAHUALCOYOTL,75381,139580,1,535,2023-01-15,2023-06-15,3000.0,1101.23,176.2,320.0,178.64,LINEA,,SI,1,22.0,3727.466153846154
CHIMALHUACAN 2,45740,139588,6,750,2023-01-15,2023-06-30,6000.0,2542.29,406.77,540.0,141.92,LINEA,,SI,6,24.0,7068.666153846154
CHIMALHUACAN 2,45740,139591,1,685,2023-01-15,2023-03-31,3000.0,956.17,152.99,240.0,202.83,LINEA,,SI,1,11.0,3373.943076923077
CHIMALHUACAN 2,34052,139608,2,660,2023-01-15,2023-05-31,4500.0,1806.13,288.98,450.0,157.88,LINEA,,SI,2,19.0,5240.666153846154
CHALCO,5728,139610,1,375,2023-01-15,2023-06-30,3000.0,1268.89,203.02,480.0,141.69,LINEA,,SI,1,24.0,3791.743076923077
NEZAHUALCOYOTL,18377,139611,7,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,7,15.0,6675.573846153846
VILLAHERMOSA,70602,139612,2,660,2023-01-15,2023-05-31,4500.0,1806.13,288.98,450.0,157.88,LINEA,,SI,2,19.0,5240.666153846154
TEXCOCO,14894,139613,4,625,2023-01-15,2023-06-30,5000.0,2152.98,344.48,540.0,141.91,LINEA,,SI,4,24.0,5976.358461538462
CHIMALHUACAN 2,8632,139615,7,970,2023-01-15,2023-05-15,6000.0,2350.75,376.12,405.0,170.26,LINEA,,SI,7,17.0,6762.927692307692
VILLAHERMOSA,139418,139420,5,1680,2023-01-13,2023-08-15,22000.0,4194.83,671.17,480.0,110.0,PRESTAMO PERSONAL RED,93759.0,SI,5,31.0,25282.096923076922
VILLAHERMOSA,139418,139421,5,390,2023-01-13,2023-08-15,5000.0,1063.83,170.21,464.0,122.0,PRESTAMO PERSONAL RED,93760.0,SI,5,31.0,6255.173846153846
VILLAHERMOSA,139418,139422,5,390,2023-01-13,2023-08-15,5000.0,1063.83,170.21,464.0,122.0,PRESTAMO PERSONAL RED,93761.0,SI,5,31.0,6255.173846153846
VILLAHERMOSA,139418,139423,2,404,2023-01-13,2023-08-15,5000.0,1250.69,200.11,464.0,142.0,PRESTAMO PERSONAL RED,128099.0,SI,2,31.0,6255.173846153846
IXTAPALUCA,114820,139426,1,950,2023-01-15,2023-02-28,3000.0,689.49,110.32,160.0,210.47,LINEA,,SI,1,6.0,3213.250769230769
ORIZABA,138271,139584,1,445,2023-01-15,2023-08-15,3000.0,1243.2,198.91,400.0,162.56,LINEA,,SI,1,30.0,3984.573846153846
CHIMALHUACAN 2,34052,139616,5,685,2023-01-15,2023-06-30,5500.0,2341.63,374.66,540.0,140.46,LINEA,,SI,5,24.0,6522.512307692308
CHALCO,37724,139617,5,880,2023-01-15,2023-05-31,6000.0,2356.84,377.09,450.0,158.03,LINEA,,SI,5,19.0,6850.281538461539
CARDENAS,74281,139585,3,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,3,15.0,6675.573846153846
CHIMALHUACAN 2,17601,139586,1,535,2023-01-15,2023-04-30,3000.0,1101.23,176.2,320.0,178.64,LINEA,,SI,1,15.0,3502.496923076923
TONALA,480,139592,3,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,3,15.0,6675.573846153846
CHIMALHUACAN 2,60176,139618,4,750,2023-01-15,2023-06-30,6000.0,2583.78,413.4,540.0,141.92,LINEA,,SI,4,24.0,7068.666153846154
CHIMALHUACAN 2,60176,139619,4,750,2023-01-15,2023-06-30,6000.0,2583.78,413.4,540.0,141.92,LINEA,,SI,4,24.0,7068.666153846154
VILLAHERMOSA,45787,138240,4,595,2023-01-15,2023-08-31,6000.0,3029.27,484.68,720.0,124.6,LINEA,,SI,4,33.0,7461.758461538462
VILLAHERMOSA,42183,139609,3,500,2023-01-15,2023-06-30,4000.0,1717.29,274.77,540.0,141.53,LINEA,,SI,3,24.0,4884.050769230769
AMECAMECA,126951,139620,1,535,2023-01-15,2023-04-30,3000.0,1101.23,176.2,320.0,178.64,LINEA,,SI,1,15.0,3502.496923076923
CHALCO,53826,139621,4,705,2023-01-15,2023-04-30,4000.0,1410.26,225.64,360.0,172.1,LINEA,,SI,4,15.0,4560.189230769231
ORIZABA,6611,139622,3,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,3,15.0,6675.573846153846
CARDENAS,64153,139623,5,750,2023-01-15,2023-06-30,6000.0,2583.78,413.4,540.0,141.92,LINEA,,SI,5,24.0,7068.666153846154
CHALCO,32794,139624,5,970,2023-01-15,2023-05-15,6000.0,2350.75,376.12,405.0,170.26,LINEA,,SI,5,17.0,6762.927692307692
CHALCO,33050,139625,7,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,7,15.0,6675.573846153846
CHALCO,33050,139626,3,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,3,15.0,6675.573846153846
CHALCO,33050,139627,5,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,5,15.0,6675.573846153846
CHALCO,33050,139635,7,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,7,15.0,6675.573846153846
CHALCO,21877,139637,3,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,3,15.0,6675.573846153846
COATZACOALCOS,85147,139607,1,445,2023-01-15,2023-05-31,3000.0,1243.2,198.91,400.0,162.56,LINEA,,SI,1,19.0,3631.050769230769
NEZAHUALCOYOTL,139628,139629,2,800,2023-01-12,2023-04-27,10000.0,2407.35,385.18,464.0,137.0,PRESTAMO PERSONAL RED,129864.0,SI,2,15.0,10906.343076923076
ORIZABA,43288,139638,5,595,2023-01-15,2023-08-31,6000.0,3000.16,480.03,720.0,124.6,LINEA,,SI,5,33.0,7461.758461538462
ORIZABA,6611,139639,5,625,2023-01-15,2023-06-30,5000.0,2152.98,344.48,540.0,141.91,LINEA,,SI,5,24.0,5976.358461538462
NEZAHUALCOYOTL,76453,139640,5,670,2023-01-15,2023-07-31,6000.0,2911.61,465.86,630.0,136.61,LINEA,,SI,5,28.0,7243.373846153846
CHALCO,23162,139644,8,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,8,15.0,6675.573846153846
ORIZABA,75457,139648,4,750,2023-01-15,2023-06-30,6000.0,2583.78,413.4,540.0,141.92,LINEA,,SI,4,24.0,7068.666153846154
VILLAHERMOSA,16051,139655,3,750,2023-01-15,2023-08-15,6000.0,2583.78,413.4,540.0,141.92,LINEA,,SI,3,30.0,7330.727692307692
CHALCO,33050,139661,2,795,2023-01-15,2023-04-30,4500.0,1599.98,256.0,360.0,173.45,LINEA,,SI,2,15.0,5089.035384615385
VILLAHERMOSA,5252,136847,2,910,2023-01-15,2023-04-30,6000.0,1099.81,175.97,0.0,93.0,PRESTAMO PERSONAL CLUB,,SI,2,15.0,6675.573846153846
CHIMALHUACAN 2,116,139641,3,880,2023-01-15,2023-05-31,6000.0,2410.65,385.7,450.0,158.03,LINEA,,SI,3,19.0,6850.281538461539
CHIMALHUACAN 2,116,139642,4,880,2023-01-15,2023-05-31,6000.0,2410.65,385.7,450.0,158.03,LINEA,,SI,4,19.0,6850.281538461539
CHIMALHUACAN 2,116,139643,5,880,2023-01-15,2023-05-31,6000.0,2410.65,385.7,450.0,158.03,LINEA,,SI,5,19.0,6850.281538461539
TEXCOCO,41954,139646,1,375,2023-01-15,2023-06-30,3000.0,1289.59,206.33,480.0,141.69,LINEA,,SI,1,24.0,3791.743076923077
TONALA,8488,139649,2,397,2023-01-15,2023-03-15,1500.0,415.69,66.51,140.0,208.42,LINEA,,SI,2,8.0,1731.3738461538462
TEXCOCO,41954,139652,1,375,2023-01-15,2023-06-30,3000.0,1289.59,206.33,480.0,141.69,LINEA,,SI,1,24.0,3791.743076923077
VILLAHERMOSA,6379,139659,1,795,2023-01-15,2023-03-15,3000.0,839.82,134.37,200.0,210.42,LINEA,,SI,1,8.0,3277.527692307692
CHIMALHUACAN 2,116,139663,8,1060,2023-01-15,2023-04-30,6000.0,2135.31,341.65,360.0,173.6,LINEA,,SI,8,15.0,6675.573846153846
CARDENAS,75542,139665,3,670,2023-01-15,2023-07-31,6000.0,2875.84,460.13,630.0,136.61,LINEA,,SI,3,28.0,7243.373846153846
CHIMALHUACAN 2,116,139666,3,880,2023-01-15,2023-05-31,6000.0,2410.65,385.7,450.0,158.03,LINEA,,SI,3,19.0,6850.281538461539
CHALCO,53722,139667,4,880,2023-01-15,2023-05-31,6000.0,2410.65,385.7,450.0,158.03,LINEA,,SI,4,19.0,6850.281538461539
