Contrato,Anexo,Número de documento,Fecha Depósito,Fecha Aplicación,Monto de Seguro Asociado,Monto de Seguro Distribuidor,Tipo de Movimiento,Cuenta,paymentId
86296,N,86296,2024-03-07,2024-03-08,-85.0,-25.0,1,OXXO,263697
13489,N,13489,2024-03-10,2024-03-10,-90.0,-25.0,1,PAYCASH,263861
72316,N,72316,2024-03-11,2024-03-11,-699.99,-35.0,1,PAYCASH,263953
14894,N,14894,2024-03-11,2024-03-11,-373.0,-30.0,1,BANCOMER,263958
105594,N,105594,2024-03-11,2024-03-12,-247.97,-25.0,1,BANCOMER,264140
171417,N,152801,2024-03-13,2024-03-14,-145.0,0.0,1,BANCOMER,264532
4708,N,4708,2024-03-13,2024-03-14,-225.0,-40.0,1,BANCOMER,264517
8408,N,8408,2024-03-13,2024-03-13,-400.0,-35.0,1,BANCOMER,264427
5728,N,5728,2024-03-14,2024-03-15,-3008.73,-45.0,1,PAYCASH,264823
76487,N,76487,2024-03-14,2024-03-15,-542.0,-30.0,1,PAYCASH,264824
29193,N,29193,2024-03-14,2024-03-14,-339.0,-30.0,1,PAYCASH,264717
115814,N,115814,2024-03-14,2024-03-14,-360.0,-30.0,1,PAYCASH,264769
51256,N,51256,2024-03-15,2024-03-16,-135.0,-30.0,1,BANCOMER,265177
2036,N,2036,2024-03-15,2024-03-15,-1389.99,-45.0,1,PAYCASH,264968
180131,N,170620,2024-03-15,2024-03-15,0.0,0.0,1,BONIFICACION,265063
480,N,480,2024-03-15,2024-03-15,-1334.81,-45.0,1,PAYCASH,265096
174772,N,145331,2024-03-15,2024-03-16,-268.97,0.0,1,OXXO,265199
171766,N,151776,2024-03-16,2024-03-18,-203.0,0.0,1,OXXO,265370
173376,N,142184,2024-03-16,2024-03-18,-173.98,0.0,1,BANCOMER,265452
173992,N,127303,2024-03-16,2024-03-18,-174.0,0.0,1,BANCOMER,265449
176081,N,175813,2024-03-16,2024-03-18,-146.0,0.0,1,OXXO,265373
8632,N,8632,2024-03-16,2024-03-18,-1311.86,-45.0,1,OXXO,265378
77157,N,77157,2024-03-18,2024-03-19,-213.0,-30.0,1,PAYCASH,265510
179423,N,169576,2024-03-18,2024-03-19,-145.0,0.0,1,PAYCASH,265511
180150,N,179799,2024-03-18,2024-03-19,-216.0,0.0,1,OXXO,265596
177685,N,108439,2024-03-18,2024-03-19,-210.0,0.0,1,BANCOMER,265537
177841,N,150323,2024-03-18,2024-03-18,-147.0,0.0,1,PAYCASH,265477
172134,N,171655,2024-03-18,2024-03-19,-145.0,0.0,1,OXXO,265584
180694,N,161991,2024-03-18,2024-03-18,-174.0,0.0,1,PAYCASH,265488
178046,N,160687,2024-03-18,2024-03-19,-145.0,0.0,1,OXXO,265594
175505,N,121953,2024-03-18,2024-03-20,-145.0,0.0,1,OXXO,265788
172651,N,107684,2024-03-18,2024-03-19,-175.0,0.0,1,OXXO,265595
172564,N,172151,2024-03-18,2024-03-19,-232.0,0.0,1,OXXO,265560
179302,N,149899,2024-03-18,2024-03-19,-118.0,0.0,1,OXXO,265567
176012,N,156603,2024-03-18,2024-03-19,-148.0,0.0,1,BANCOMER,265516
178460,N,126901,2024-03-19,2024-03-20,-208.0,0.0,1,BANCOMER,265748
174052,N,108874,2024-03-19,2024-03-20,-58.0,0.0,1,OXXO,265792
175665,N,154899,2024-03-19,2024-03-20,-150.0,0.0,1,OXXO,265791
176514,N,106672,2024-03-19,2024-03-20,-146.0,0.0,1,OXXO,265779
175497,N,145831,2024-03-19,2024-03-20,-208.98,0.0,1,OXXO,265787
176045,N,175986,2024-03-19,2024-03-20,-176.0,0.0,1,OXXO,265793
179132,N,124922,2024-03-19,2024-03-20,-147.0,0.0,1,OXXO,265802
178686,N,147827,2024-03-19,2024-03-19,-145.0,0.0,1,BANCOMER,265638
176829,N,116017,2024-03-19,2024-03-20,-177.0,0.0,1,OXXO,265763
180164,N,125140,2024-03-19,2024-03-19,-181.0,0.0,1,PAYCASH,265668
176365,N,129838,2024-03-19,2024-03-20,-145.0,0.0,1,OXXO,265785
173340,N,123540,2024-03-19,2024-03-20,-145.0,0.0,1,OXXO,265769
172707,N,142828,2024-03-19,2024-03-20,-177.0,0.0,1,OXXO,265800
176160,N,153516,2024-03-19,2024-03-20,-116.0,0.0,1,OXXO,265807
81301,N,81301,2024-03-19,2024-03-19,-90.0,-25.0,1,PAYCASH,265702
173061,N,134172,2024-03-19,2024-03-19,-150.0,0.0,1,PAYCASH,265715
174670,N,145452,2024-03-19,2024-03-20,-205.0,0.0,1,BANCOMER,265753
175688,N,155513,2024-03-20,2024-03-20,-145.0,0.0,1,PAYCASH,265719
172342,N,148673,2024-03-20,2024-03-20,-145.0,0.0,1,PAYCASH,265756
179931,N,107117,2024-03-20,2024-03-21,-145.0,0.0,1,OXXO,265918
173442,N,149186,2024-03-20,2024-03-20,-145.0,0.0,1,BANCOMER,265825
172252,N,142121,2024-03-20,2024-03-20,-265.0,0.0,1,PAYCASH,265838
179080,N,148007,2024-03-20,2024-03-20,-87.0,0.0,1,PAYCASH,265844
178965,N,143361,2024-03-20,2024-03-21,-149.36,0.0,1,OXXO,265933
172072,N,141782,2024-03-20,2024-03-20,-175.44,0.0,1,BANCOMER,265853
175772,N,114905,2024-03-20,2024-03-20,-145.0,0.0,1,PAYCASH,265866
174959,N,120239,2024-03-20,2024-03-20,-58.0,0.0,1,PAYCASH,265869
176160,N,153516,2024-03-20,2024-03-21,0.0,0.0,1,OXXO,265934
174914,N,106868,2024-03-20,2024-03-20,-203.0,0.0,1,PAYCASH,265881
177341,N,101711,2024-03-20,2024-03-21,-177.0,0.0,1,OXXO,265956
173340,N,123540,2024-03-21,2024-03-22,0.0,0.0,1,BANCOMER,266072
171417,N,152801,2024-03-21,2024-03-21,-1.43,0.0,1,BANCOMER,265993
