Contrato,Anexo,Número de documento,Fecha Depósito,Fecha Aplicación,Monto de Principal,Monto de interés,Monto de IVA,Tipo de Movimiento,Cuenta,paymentId
180742,N,163049,2024-05-21,2024-05-21,0.0,-11.21,-1.79,PAG,BANCOMER,277080
182522,N,163354,2024-05-21,2024-05-22,-5256.55,-1297.8,-207.65,PAG,OXXO,277176
182710,N,164832,2024-05-22,2024-05-23,-16670.7,-2679.58,-428.73,PAG,PAYCASH,277274
178965,N,143340,2024-05-22,2024-05-23,-161.25,-1.2,-0.19,PAG,OXXO,277335
185035,N,185082,2024-05-22,2024-05-24,-2218.49,-870.27,-139.24,PAG,OXXO,277519
179192,N,114984,2024-05-22,2024-05-22,-3439.26,-546.33,-87.41,PAG,PAYCASH,277236
180324,N,153705,2024-05-22,2024-05-23,-1334.44,-1284.98,-205.6,PAG,OXXO,277318
178295,N,178147,2024-05-22,2024-05-22,-1512.13,-265.41,-42.47,PAG,PAYCASH,277263
181329,N,155287,2024-05-22,2024-05-22,-2639.23,-673.08,-107.69,PAG,PAYCASH,277264
181272,N,131172,2024-05-22,2024-05-24,-3331.13,-728.34,-116.53,PAG,OXXO,277480
177525,N,145067,2024-05-22,2024-05-23,-2810.68,-383.03,-61.29,PAG,OXXO,277352
182937,N,109981,2024-05-22,2024-05-22,-8002.72,-1690.76,-270.52,PAG,PAYCASH,277269
182058,N,100576,2024-05-22,2024-05-23,-6788.27,-1133.39,-181.34,PAG,OXXO,277344
179931,N,169620,2024-05-22,2024-05-23,-3237.4,-650.52,-104.08,PAG,BANCOMER,277301
184480,N,117921,2024-05-23,2024-05-23,-1739.9,-515.61,-82.5,PAG,BANCOMER,277380
179931,N,169620,2024-05-23,2024-05-24,0.0,-360.34,-57.66,PAG,OXXO,277503
187592,N,156403,2024-05-23,2024-05-23,-5209.05,-2229.27,-356.68,PAG,BANCOMER,277399
184066,N,142550,2024-05-23,2024-05-24,-7208.99,-1277.59,-204.42,PAG,OXXO,277497
184066,N,142550,2024-05-23,2024-05-24,-1018.02,-1363.78,-218.2,PAG,OXXO,277488
185989,N,114855,2024-05-24,2024-05-24,0.0,-2.47,-0.4,PAG,BANCOMER,277558
178295,N,178147,2024-05-25,2024-05-25,-665.0,0.0,0.0,PAG,PAYCASH,277715
182710,N,164832,2024-05-29,2024-05-30,-843.91,-144.04,-23.05,PAG,PAYCASH,278551
186093,N,121190,2024-05-29,2024-05-30,-1553.97,-606.06,-96.97,PAG,BANCOMER,278586
179192,N,114984,2024-05-29,2024-05-30,-4216.04,-3.41,-0.55,PAG,PAYCASH,278554
178965,N,143340,2024-05-29,2024-05-30,-9123.0,-754.63,-120.74,PAG,OXXO,278653
183906,N,130055,2024-05-29,2024-05-30,-1186.1,-344.74,-55.16,PAG,OXXO,278644
180324,N,153705,2024-05-29,2024-05-30,-9766.06,-201.67,-32.27,PAG,OXXO,278659
182478,N,152802,2024-05-29,2024-05-30,-3090.73,-861.44,-137.83,PAG,BANCOMER,278615
178040,N,108975,2024-05-30,2024-05-30,-9552.8,-379.48,-60.72,PAG,BANCOMER,278605
180282,N,149906,2024-05-30,2024-05-30,-4315.76,-667.45,-106.79,PAG,PAYCASH,278694
180663,N,118777,2024-05-30,2024-05-30,-15961.11,-2463.7,-394.19,PAG,PAYCASH,278697
178040,N,108975,2024-05-30,2024-05-30,-6804.33,-387.65,-62.02,PAG,GARANTIA,278706
181829,N,146052,2024-05-30,2024-05-30,-8074.06,0.0,0.0,PAG,REFINANCIADO,278754
181829,N,146052,2024-05-30,2024-05-30,-14666.25,0.0,0.0,PAG,REFINANCIADO,278755
180296,N,118809,2024-05-30,2024-05-30,-7712.72,-1026.1,-164.18,PAG,PAYCASH,278793
