,id_distribuidor,ID ASOCIADO,CAPITAL AUTORIZADO,TASA AUTORIZADA,RECUPERADO,NO RECUPERADO,CERRADO,P COSECHA,grupo_riesgo_quilum,grupo_riesgo_quash,tasa_sugerida_quilum,tasa_sugerida_quash,perdida_cosecha_esperada_quilum,perdida_cosecha_esperada_quash
0,145442,162807,6000,142,6000.0,0.0,SI,0.0,1,4.0,100,132.0,1.63,6.11
1,145444,162806,6000,142,6000.0,0.0,SI,0.0,4,4.0,110,132.0,1.89,6.11
2,157169,157637,8000,132,8000.0,0.0,SI,0.0,2,5.0,95,115.0,1.84,7.65
3,157171,157634,11000,132,11000.0,0.0,SI,0.0,4,6.0,115,132.0,1.89,11.8
4,157178,157635,11000,132,11000.0,0.0,SI,0.0,6,6.0,127,142.0,3.19,11.8
5,157185,157630,15000,132,15000.0,0.0,SI,0.0,4,6.0,110,0.0,1.89,11.8
6,157188,157633,11000,132,11000.0,0.0,SI,0.0,3,5.0,100,137.0,1.89,7.65
7,157189,157638,11000,132,11000.0,0.0,SI,0.0,5,5.0,112,137.0,3.19,7.65
8,157194,157631,15000,132,15000.0,0.0,SI,0.0,8,5.0,0,137.0,7.48,7.65
9,157198,157636,8000,132,8000.0,0.0,SI,0.0,3,4.0,100,137.0,1.84,6.11
10,157201,157629,11000,132,11000.0,0.0,SI,0.0,10,6.0,0,117.0,17.35,11.8
11,157204,157639,11000,132,11000.0,0.0,SI,0.0,7,4.0,142,132.0,3.76,6.11
12,147364,155036,8000,142,8000.0,0.0,SI,0.0,6,4.0,127,122.0,3.76,6.11
13,147481,155039,8000,142,8000.0,0.0,SI,0.0,5,4.0,127,0.0,3.19,6.11
14,147486,155037,8000,142,8000.0,0.0,SI,0.0,3,4.0,105,0.0,1.89,6.11
15,147490,155035,8000,142,8000.0,0.0,SI,0.0,7,6.0,147,132.0,5.77,11.8
16,153407,155108,10000,142,10000.0,0.0,SI,0.0,5,4.0,0,0.0,3.19,6.11
17,153409,155106,7000,142,7000.0,0.0,SI,0.0,4,4.0,0,142.0,1.89,6.11
18,153432,155107,5000,147,5000.0,0.0,SI,0.0,8,4.0,0,132.0,5.77,6.11
19,153820,154945,7000,142,6295.9919541937625,704.0080458062376,SI,10.057257797231966,6,4.0,0,132.0,3.76,6.11
20,153821,154941,7000,142,6295.9919541937625,704.0080458062376,SI,10.057257797231966,5,5.0,0,132.0,3.19,7.65
21,154057,154943,7000,142,6295.9919541937625,704.0080458062376,SI,10.057257797231966,3,6.0,0,0.0,1.89,11.8
22,154061,154942,7000,142,6295.9919541937625,704.0080458062376,SI,10.057257797231966,6,4.0,0,132.0,3.19,6.11
23,154217,154944,7000,142,6295.9919541937625,704.0080458062376,SI,10.057257797231966,10,3.0,0,132.0,17.35,4.06
24,154329,154911,8000,127,2474.7380999958787,5525.261900004121,SI,69.06577375005152,7,5.0,0,0.0,3.76,7.65
25,154332,154914,8000,142,2474.7380999958787,5525.261900004121,SI,69.06577375005152,9,4.0,0,132.0,13.17,6.11
26,154351,154913,8000,127,2474.7380999958787,5525.261900004121,SI,69.06577375005152,7,4.0,0,142.0,5.77,6.11
27,154374,154912,6000,127,1856.0535749969085,4143.9464250030915,SI,69.06577375005152,4,7.0,120,0.0,1.89,14.76
28,154409,155060,7000,142,7000.0,0.0,SI,0.0,8,3.0,0,132.0,5.77,4.06
29,154475,154910,10000,127,3093.422624994848,6906.577375005152,SI,69.06577375005152,5,3.0,112,132.0,3.19,4.06
30,154477,154915,10000,142,3093.422624994848,6906.577375005152,SI,69.06577375005152,8,5.0,0,132.0,13.17,7.65
31,154772,154909,8000,127,2474.7380999958787,5525.261900004121,SI,69.06577375005152,6,3.0,142,142.0,3.76,4.06
32,154844,155061,7000,142,7000.0,0.0,SI,0.0,10,4.0,0,0.0,17.35,6.11
33,154896,155029,10000,142,10000.0,0.0,SI,0.0,8,3.0,0,132.0,13.17,4.06
34,153341,156155,20000,100,20000.0,0.0,SI,0.0,9,4.0,0,0.0,13.17,6.11
35,154845,156154,15000,100,15000.0,0.0,SI,0.0,9,4.0,0,132.0,13.17,6.11
36,155619,156121,20000,100,20000.0,0.0,SI,0.0,9,6.0,0,142.0,13.17,11.8
37,155621,156124,18000,100,18000.0,0.0,SI,0.0,7,5.0,147,132.0,5.77,7.65
38,155668,156122,10000,100,10000.0,0.0,SI,0.0,7,4.0,142,0.0,3.76,6.11
39,156076,156123,7000,142,7000.0,0.0,SI,0.0,9,5.0,0,115.0,15.2,7.65
40,159068,160678,70000,75,70000.0,0.0,SI,0.0,10,5.0,0,0.0,17.35,7.65
41,159069,160679,26000,95,26000.0,0.0,SI,0.0,6,6.0,127,137.0,3.76,11.8
42,160010,160507,13000,115,13000.0,0.0,SI,0.0,4,6.0,110,115.0,1.89,11.8
43,160011,160506,13000,110,13000.0,0.0,SI,0.0,2,6.0,95,132.0,1.84,11.8
44,160012,160508,13000,110,13000.0,0.0,SI,0.0,2,5.0,95,137.0,1.84,7.65
