id_distribuidor,resultado_txt,monto_autorizado,tasa_minima,tasa_sugerida,probabilidad,grupo_riesgo
145442,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 1350.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.5995535254,Canasta 2
145444,"Tasa anual sugerida es de 147% con rentabilidad: 54.45% y pagando 813.20
Tasa anual mínima posible es de 115% con rentabilidad: 40.29% y pagando 768.56",10000,115,147,0.9532120228,Canasta 5
145444,"Tasa anual sugerida es de 147% con rentabilidad: 53.16% y pagando 731.88
Tasa anual mínima posible es de 117% con rentabilidad: 40.26% y pagando 695.31",9000,117,147,0.9532120228,Canasta 5
145444,"Tasa anual sugerida es de 147% con rentabilidad: 51.54% y pagando 650.56
Tasa anual mínima posible es de 122% con rentabilidad: 40.36% y pagando 622.33",8000,122,147,0.9532120228,Canasta 5
145444,"Tasa anual sugerida es de 147% con rentabilidad: 49.47% y pagando 569.24
Tasa anual mínima posible es de 127% con rentabilidad: 40.42% y pagando 549.25",7000,127,147,0.9532120228,Canasta 5
145444,"Tasa anual sugerida es de 147% con rentabilidad: 46.70% y pagando 487.92
Tasa anual mínima posible es de 132% con rentabilidad: 40.20% y pagando 475.64",6000,132,147,0.9532120228,Canasta 5
145444,"Tasa anual sugerida es de 147% con rentabilidad: 42.82% y pagando 406.60
Tasa anual mínima posible es de 142% con rentabilidad: 40.21% y pagando 402.49",5000,142,147,0.9532120228,Canasta 5
157169,"Tasa anual sugerida es de 147% con rentabilidad: 61.36% y pagando 813.20
Tasa anual mínima posible es de 100% con rentabilidad: 40.59% y pagando 747.41",10000,100,147,0.9896001816,Canasta 6
157169,"Tasa anual sugerida es de 147% con rentabilidad: 60.07% y pagando 731.88
Tasa anual mínima posible es de 105% con rentabilidad: 40.52% y pagando 676.21",9000,105,147,0.9896001816,Canasta 6
157169,"Tasa anual sugerida es de 147% con rentabilidad: 58.45% y pagando 650.56
Tasa anual mínima posible es de 105% con rentabilidad: 40.59% y pagando 605.30",8000,105,147,0.9896001816,Canasta 6
157169,"Tasa anual sugerida es de 147% con rentabilidad: 56.37% y pagando 569.24
Tasa anual mínima posible es de 110% con rentabilidad: 40.03% y pagando 533.34",7000,110,147,0.9896001816,Canasta 6
157169,"Tasa anual sugerida es de 147% con rentabilidad: 53.60% y pagando 487.92
Tasa anual mínima posible es de 117% con rentabilidad: 40.29% y pagando 462.74",6000,117,147,0.9896001816,Canasta 6
157169,"Tasa anual sugerida es de 147% con rentabilidad: 49.73% y pagando 406.60
Tasa anual mínima posible es de 127% con rentabilidad: 40.23% y pagando 391.64",5000,127,147,0.9896001816,Canasta 6
157171,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 850.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.364700973,Canasta 1
157178,"Tasa anual sugerida es de 137% con rentabilidad: 50.88% y pagando 799.53
Tasa anual mínima posible es de 115% con rentabilidad: 40.29% y pagando 768.56",10000,115,137,0.9442193508,Canasta 5
157178,"Tasa anual sugerida es de 147% con rentabilidad: 53.16% y pagando 731.88
Tasa anual mínima posible es de 117% con rentabilidad: 40.26% y pagando 695.31",9000,117,147,0.9442193508,Canasta 5
157178,"Tasa anual sugerida es de 147% con rentabilidad: 51.54% y pagando 650.56
Tasa anual mínima posible es de 122% con rentabilidad: 40.36% y pagando 622.33",8000,122,147,0.9442193508,Canasta 5
157178,"Tasa anual sugerida es de 147% con rentabilidad: 49.47% y pagando 569.24
Tasa anual mínima posible es de 127% con rentabilidad: 40.42% y pagando 549.25",7000,127,147,0.9442193508,Canasta 5
157178,"Tasa anual sugerida es de 147% con rentabilidad: 46.70% y pagando 487.92
Tasa anual mínima posible es de 132% con rentabilidad: 40.20% y pagando 475.64",6000,132,147,0.9442193508,Canasta 5
157178,"Tasa anual sugerida es de 147% con rentabilidad: 42.82% y pagando 406.60
Tasa anual mínima posible es de 142% con rentabilidad: 40.21% y pagando 402.49",5000,142,147,0.9442193508,Canasta 5
157185,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 900.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6734732985,Canasta 2
157188,"Tasa anual sugerida es de 147% con rentabilidad: 42.53% y pagando 813.20
Tasa anual mínima posible es de 142% con rentabilidad: 40.36% y pagando 806.35",10000,142,147,0.8126282692,Canasta 3
157188,"Tasa anual sugerida es de 147% con rentabilidad: 41.24% y pagando 731.88
Tasa anual mínima posible es de 147% con rentabilidad: 40.37% y pagando 729.41",9000,147,147,0.8126282692,Canasta 3
157189,"Tasa anual sugerida es de 147% con rentabilidad: 47.64% y pagando 813.20
Tasa anual mínima posible es de 132% con rentabilidad: 40.29% y pagando 790.03",10000,132,147,0.8846513033,Canasta 4
157189,"Tasa anual sugerida es de 147% con rentabilidad: 46.35% y pagando 731.88
Tasa anual mínima posible es de 137% con rentabilidad: 40.29% y pagando 714.69",9000,137,147,0.8846513033,Canasta 4
157189,"Tasa anual sugerida es de 147% con rentabilidad: 44.74% y pagando 650.56
Tasa anual mínima posible es de 137% con rentabilidad: 40.41% y pagando 639.62",8000,137,147,0.8846513033,Canasta 4
