id_distribuidor,monto_autorizado,tasa_minima,probabilidad,grupo_riesgo
140847,0,0,0.5490779281,Canasta 2
143960,0,0,0.5049648881,Canasta 2
145442,0,0,0.5995535254,Canasta 2
145444,10000,142,0.9532120228,Canasta 5
145969,10000,142,0.9089719057,Canasta 4
147364,0,0,0.7051388025,Canasta 2
147481,0,0,0.6838712096,Canasta 2
147486,0,0,0.2326734066,Canasta 1
147487,10000,147,0.7692042589,Canasta 3
147489,10000,127,0.9736328125,Canasta 6
147490,0,0,0.447730124,Canasta 1
147492,0,0,0.6396306157,Canasta 2
147582,0,0,0.3238474727,Canasta 1
147989,10000,147,0.8237352371,Canasta 3
147991,7000,142,0.8827112317,Canasta 4
148081,0,0,0.20625633,Canasta 1
151527,0,0,0.5517470837,Canasta 2
151626,10000,147,0.8264601827,Canasta 3
151641,0,0,0.5201773643,Canasta 2
151642,8000,142,0.8799408674,Canasta 4
151755,10000,142,0.9639108777,Canasta 5
151756,0,0,0.5629642606,Canasta 2
151757,0,0,0.7053405046,Canasta 2
151779,0,0,0.316175133,Canasta 1
151802,8000,142,0.8670610785,Canasta 4
151844,0,0,0.8311220407,Canasta 3
151883,0,0,0.5318051577,Canasta 2
151885,0,0,0.1788528413,Canasta 1
152069,8000,142,0.8475846648,Canasta 4
152120,0,0,0.5555379391,Canasta 2
152143,0,0,0.4113502502,Canasta 1
152162,0,0,0.6497368217,Canasta 2
152210,7000,142,0.8515716195,Canasta 4
152212,0,0,0.1853553802,Canasta 1
152227,0,0,0.9289289117,Canasta 4
152232,0,0,0.922349453,Canasta 4
152233,0,0,0.6161084771,Canasta 2
152263,0,0,0.5331688523,Canasta 2
152286,0,0,0.188473314,Canasta 1
152317,0,0,0.5594679117,Canasta 2
152329,0,0,0.1919392645,Canasta 1
152339,0,0,0.1331288517,Canasta 1
152344,0,0,0.5754114985,Canasta 2
152345,0,0,0.3948378563,Canasta 1
152346,0,0,0.5706970096,Canasta 2
152349,0,0,0.4144281745,Canasta 1
152362,0,0,0.1888915598,Canasta 1
152363,10000,142,0.9272546768,Canasta 4
152384,0,0,0.2968562841,Canasta 1
152385,0,0,0.5967876315,Canasta 2
152434,0,0,0.5855128169,Canasta 2
152472,0,0,0.1216875613,Canasta 1
152474,0,0,0.5111088753,Canasta 2
152475,0,0,0.4333603382,Canasta 1
152477,0,0,0.6801815033,Canasta 2
152523,0,0,0.3763575554,Canasta 1
152536,0,0,0.601958096,Canasta 2
152563,0,0,0.4209084213,Canasta 1
152566,0,0,0.2360207736,Canasta 1
152567,0,0,0.5462619066,Canasta 2
152598,0,0,0.8388869166,Canasta 3
152599,0,0,0.7494051456,Canasta 2
152602,10000,142,0.9549494982,Canasta 5
152605,0,0,0.6049047112,Canasta 2
152620,0,0,0.4972223341,Canasta 1
152623,0,0,0.5444723964,Canasta 2
152624,10000,147,0.8178322315,Canasta 3
152636,0,0,0.3296526074,Canasta 1
152641,0,0,0.1747863144,Canasta 1
152680,0,0,0.4419578314,Canasta 1
152716,0,0,0.9147689939,Canasta 4
152721,0,0,0.3602119684,Canasta 1
152760,10000,147,0.7593948841,Canasta 3
152778,0,0,0.6784213185,Canasta 2
152793,0,0,0.2631152868,Canasta 1
152794,0,0,0.6083740592,Canasta 2
152797,0,0,0.2635394931,Canasta 1
152798,10000,142,0.8622094393,Canasta 4
152801,0,0,0.7062774301,Canasta 2
152802,0,0,0.2815541327,Canasta 1
152815,0,0,0.0918926969,Canasta 1
152818,10000,147,0.8303623796,Canasta 3
152819,0,0,0.6955940127,Canasta 2
152820,0,0,0.0926825032,Canasta 1
152822,0,0,0.2780781686,Canasta 1
152823,10000,142,0.8450929523,Canasta 4
152826,8000,142,0.8881236911,Canasta 4
152832,0,0,0.1439304352,Canasta 1
152849,10000,142,0.9614886642,Canasta 5
152850,10000,127,0.9680073857,Canasta 6
152905,0,0,0.549110055,Canasta 2
152908,8000,142,0.8686343431,Canasta 4
152930,10000,147,0.8106074929,Canasta 3
152939,0,0,0.0803300068,Canasta 1
152941,0,0,0.3773088455,Canasta 1
152943,0,0,0.6507306695,Canasta 2
152945,10000,147,0.7759553194,Canasta 3
152953,0,0,0.1882675588,Canasta 1
152960,6000,142,0.9563994408,Canasta 5
152985,0,0,0.5367929935,Canasta 2
152999,10000,142,0.9584102035,Canasta 5
153000,0,0,0.8051650524,Canasta 3
153001,8000,142,0.927241981,Canasta 4
153018,10000,142,0.9632573724,Canasta 5
153038,0,0,0.8148167133,Canasta 3
153040,10000,127,0.9714862704,Canasta 6
153051,0,0,0.5748126507,Canasta 2
153055,10000,147,0.8005906343,Canasta 3
153065,0,0,0.0501213856,Canasta 1
153066,8000,142,0.9056048989,Canasta 4
153082,10000,142,0.8567306399,Canasta 4
153083,0,0,0.5360689759,Canasta 2
153085,9000,142,0.8750835657,Canasta 4
153086,10000,127,0.9743169546,Canasta 6
153087,10000,142,0.9547561407,Canasta 5
153088,10000,127,0.9691429734,Canasta 6
153090,0,0,0.6463038921,Canasta 2
153096,10000,142,0.9114820361,Canasta 4
153097,10000,127,0.9878365397,Canasta 6
153099,0,0,0.3172583282,Canasta 1
153101,0,0,0.0686453208,Canasta 1
153105,0,0,0.1899531335,Canasta 1
153106,10000,142,0.8491721153,Canasta 4
