APPLICANT_ID,INGRESO_MENSUAL,GASTOS_FAMILIARES,OTROS_INGRESOS,INGRESO_NETO,DEPENDIENTES,VENTAS,EDAD,MONTO_MENSUAL_VENTA,COMPRAS,DELEGACION,DELEGACION_NEGOCIO,ESCOLARIDAD,ESTADO,ESTADO_CIVIL,ESTADO_NEGOCIO,SEXO,SUCURSAL,TIPO_NEGOCIO,TIPO_VIVIENDA
145442,8000,800,2500,10800,2,2000,46,8000,900,TENANGO_DEL_AIRE,TENANGO_DEL_AIRE,SECUNDARIA,MEXICO,SOLTERO,MEXICO,FEMENINO,AMECAMECA,CALZADO_REPARACION_Y_VENTA,FAMILIAR
145444,12200,0,1000,12200,0,4000,53,16000,1500,TENANGO_DEL_AIRE,TENANGO_DEL_AIRE,TECNICO,MEXICO,CASADO,MEXICO,FEMENINO,AMECAMECA,VENTA_DE_ALIMENTOS,FAMILIAR
157169,16000,1300,2100,9600,1,4000,33,16000,1300,NEZAHUALCOYOTL,NEZAHUALCOYOTL,TECNICO,MEXICO,CASADO,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,VENTA_DE_ROPA,FAMILIAR
157171,10000,1000,1500,6800,3,2500,24,10000,1200,NEZAHUALCOYOTL,NEZAHUALCOYOTL,BACHILLERATO,MEXICO,UNION LIBRE,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,VENTA_DE_ROPA,FAMILIAR
157178,14000,1700,2500,9100,0,3500,53,14000,1800,NEZAHUALCOYOTL,NEZAHUALCOYOTL,SECUNDARIA,MEXICO,SOLTERO,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,JOYERIA/BISUTERIA/FUNDICION,FAMILIAR
157185,16000,1300,1500,7200,0,4000,21,16000,1200,NEZAHUALCOYOTL,NEZAHUALCOYOTL,TECNICO,MEXICO,SOLTERO,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,VENTA_DE_ROPA,FAMILIAR
157188,7200,1000,1800,7200,0,3000,31,12000,1200,NEZAHUALCOYOTL,TLILAPAN,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,VENTA_DE_ROPA,FAMILIAR
157189,18000,1300,1800,10800,2,4500,43,18000,1300,NEZAHUALCOYOTL,NEZAHUALCOYOTL,SECUNDARIA,MEXICO,CASADO,MEXICO,MASCULINO,NEZAHUALCOYOTL_2,VENTA_DE_ALIMENTOS,FAMILIAR
157194,18000,1100,2000,9600,0,4500,32,18000,1500,NEZAHUALCOYOTL,NEZAHUALCOYOTL,TECNICO,MEXICO,SOLTERO,MEXICO,MASCULINO,NEZAHUALCOYOTL_2,JOYERIA/BISUTERIA/FUNDICION,FAMILIAR
157198,7200,1800,2000,7200,0,4000,58,16000,1300,NEZAHUALCOYOTL,TLILAPAN,BACHILLERATO,MEXICO,CASADO,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,VENTA_DE_ALIMENTOS,FAMILIAR
