nombreScore,valor,razones,folioConsulta
FICO,569,"D7,J0,E2,M1",1167066804
FICO,529,"K0,F7,E4,E2",1167128091
FICO,441,"K0,D7,F7,D8",1167139642
FICO,387,"K0,D7,J0,E2",1166361717
FICO,380,"K0,D7,J0,E2",1166864815
FICO,590,"J0,F7,D7,E2",1167160657
FICO,0,"C2,None,None,None",1166878206
FICO,476,"D7,J0,K0,E2",1166388121
FICO,653,"E0,J0,G1,E2",1166950138
FICO,543,"K0,J0,E2,M1",1167148337
FICO,470,"K0,J0,D7,E2",1166984437
FICO,423,"K0,J0,D7,P9",1166888648
FICO,364,"K0,J0,D7,E2",1166897001
FICO,419,"K0,D7,J0,E2",1166879274
FICO,594,"J0,E2,D7,M1",1167132695
FICO,614,"E2,J0,E0,G1",1167242975
FICO,416,"K0,D7,J0,E2",1167157806
FICO,555,"K0,E4,J0,F7",1166502669
FICO,507,"K0,J0,E2,P6",1167083233
FICO,300,"J0,K0,D7,E2",1166399027
FICO,384,"K0,D7,J0,E2",1166549975
FICO,600,"J0,E2,D7,M1",1166568805
FICO,425,"K0,D7,J0,E2",1167132165
FICO,705,"J0,G1,E0,E2",1166895082
FICO,525,"K0,J0,E2,M1",1166269370
FICO,439,"K0,J0,D7,D8",1166880215
FICO,0,"C2,None,None,None",1166880725
FICO,653,"E0,J0,G1,E2",1166950175
FICO,467,"K0,E2,F7,D8",1166951047
FICO,460,"K0,D7,D8,F7",1166503925
FICO,600,"E2,E0,J0,G1",1167010322
FICO,472,"K0,J0,E2,D8",1166872944
FICO,578,"K0,J0,E2,P9",1167022271
FICO,435,"K0,J0,D7,E2",1167000311
FICO,476,"K0,J0,E2,P6",1166999974
FICO,705,"J0,G1,E0,E2",1166895031
FICO,606,"E2,E0,J0,G1",1166557426
FICO,413,"K0,J0,E2,P6",1166932901
FICO,673,"J0,E2,E0,P9",1167293546
FICO,367,"D2,E2,A1,P6",1167289760
FICO,490,"K0,J0,E2,D7",1167303410
FICO,385,"K0,J0,D7,E2",1167312521
FICO,631,"E2,J0,E0,G1",1167321361
FICO,551,"K0,J0,E2,P9",1167568067
FICO,634,"J0,F7,D7,E4",1167575322
FICO,515,"E2,D2,A1,J0",1167571353
FICO,608,"J0,E2,D7,D2",1167584952
FICO,554,"J0,D7,E2,F7",1167605043
FICO,454,"K0,J0,E2,D8",1167625524
FICO,477,"K0,J0,E2,D8",1167638874
FICO,601,"J0,K0,D7,E2",1167675984
FICO,587,"J0,K0,D7,E2",1167677843
FICO,657,"E0,J0,E2,G1",1167676992
FICO,445,"K0,J0,D7,D8",1167680183
FICO,564,"D2,J0,E2,G1",1167678727
FICO,464,"E2,D2,A1,E0",1167719533
FICO,418,"K0,D7,J0,D8",1167735384
FICO,667,"J0,E2,D2,E0",1167742774
FICO,555,"K0,P9,D8,J0",1167746893
FICO,540,"J0,D2,E2,F7",1169268233
FICO,426,"K0,D7,J0,E2",1169253687
FICO,426,"K0,D7,J0,E2",1169280394
FICO,426,"K0,D7,J0,E2",1169280819
FICO,426,"K0,D7,J0,E2",1169281972
FICO,426,"K0,D7,J0,E2",1169281587
FICO,458,"K0,J0,E2,F7",1169313580
FICO,505,"D7,J0,K0,E2",1169349871
FICO,483,"K0,J0,E2,D7",1169362431
FICO,433,"K0,J0,D7,E2",1169364410
FICO,528,"K0,J0,E2,D7",1169380260
FICO,414,"K0,J0,E2,D8",1169391593
FICO,420,"K0,D7,J0,E2",1169387646
FICO,613,"E2,J0,E0,G1",1169395821
FICO,420,"K0,J0,E2,F7",1169385971
FICO,692,"J0,G1,D2,E0",1169380815
FICO,0,"C2,None,None,None",1169401423
FICO,668,"E0,J0,G1,E2",1169428916
FICO,469,"D2,A1,E0,J0",1169448198
FICO,587,"J0,K0,E2,M1",1169457561
FICO,483,"K0,J0,D2,E2",1169461615
FICO,634,"J0,E2,D2,E0",1169824889
FICO,469,"E2,D2,A1,E0",1169821162
FICO,418,"K0,D7,J0,E2",1171410146
FICO,516,"K0,J0,D8,E2",1171418763
FICO,499,"K0,J0,D8,D7",1171419756
FICO,454,"K0,J0,D7,D8",1171420042
FICO,561,"E2,E0,J0,G1",1171452155
FICO,475,"K0,J0,E2,D2",1171480023
FICO,480,"K0,J0,E2,D7",1171481243
FICO,478,"K0,J0,D7,E2",1171483221
FICO,432,"K0,D7,J0,E2",1171480703
FICO,382,"K0,D7,J0,E2",1171485948
FICO,540,"K0,J0,E2,D2",1171488665
FICO,523,"K0,J0,E2,M1",1171479277
FICO,481,"K0,J0,E2,D8",1171481663
FICO,539,"K0,E2,F7,D8",1171506034
FICO,604,"E2,E0,J0,G1",1171515493
FICO,509,"K0,J0,E2,D2",1171507065
FICO,488,"K0,J0,D8,D7",1171499004
