,id_distribuidor,fecha_consulta,folio,saldo_vencido_total,pagos_vencidos,creditos_totales,creditos_con_claves_prevencion,creditos_completados_con_atraso,creditos_completados_sin_atraso
0,154610.0,2023-06-07 17:25:26,1166269370,37981,72,10,5,3,7
4,154767.0,2023-06-07 21:38:05,1166502669,9573,36,2,2,2,0
6,154772.0,2023-06-07 22:41:56,1166549975,2253,73,37,23,5,32
7,154771.0,2023-06-07 22:52:35,1166557426,0,5,39,27,0,39
8,122546.0,2023-06-07 23:08:09,1166568805,51870,33,29,22,3,26
10,154792.0,2023-06-08 14:53:23,1166872944,16269,55,21,14,2,19
18,154806.0,2023-06-08 15:38:51,1166897001,9967,13,5,2,3,2
19,154810.0,2023-06-08 16:30:37,1166932901,32742,85,95,57,7,88
20,154811.0,2023-06-08 16:54:51,1166950138,0,0,3,2,0,3
27,154827.0,2023-06-08 18:27:18,1167022271,9384,24,42,1,1,41
29,154840.0,2023-06-08 19:45:33,1167083233,2002,2,16,5,1,15
30,154844.0,2023-06-08 20:45:28,1167128091,620,1,2,1,1,1
31,154845.0,2023-06-08 20:50:56,1167132165,189302,170,74,39,10,64
37,154859.0,2023-06-08 22:25:09,1167242975,0,0,35,0,0,35
43,154876.0,2023-06-09 15:01:07,1167568067,1720,10,5,2,2,3
44,154878.0,2023-06-09 15:07:55,1167571353,1413,44,8,4,3,5
45,154879.0,2023-06-09 15:15:17,1167575322,0,1,34,25,0,34
47,154892.0,2023-06-09 16:02:48,1167605043,0,0,32,0,0,32
48,154896.0,2023-06-09 16:32:22,1167625524,4340,190,28,20,1,27
49,154897.0,2023-06-09 16:50:59,1167638874,1127,351,40,17,6,34
50,154899.0,2023-06-09 17:39:35,1167675984,0,11,23,21,0,23
51,154900.0,2023-06-09 17:40:55,1167676992,0,44,27,19,0,27
52,154902.0,2023-06-09 17:41:59,1167677843,21024,32,43,36,1,42
53,154905.0,2023-06-09 17:43:08,1167678727,0,5,33,29,0,33
54,154906.0,2023-06-09 17:44:58,1167680183,4529,27,57,44,4,53
55,154927.0,2023-06-09 18:33:45,1167719533,5427,11,1,0,1,0
