label,approval_score,applicant_id,sucursal,flag_sucursal_riesgo,grupo_riesgo_final,tasa_perdida,inf_obs
3,0.5263560766,145442,GRUPO_1,NO,3,8.34,N/A
3,0.5611956871,145444,GRUPO_1,NO,3,8.34,N/A
3,0.6289731535,157169,GRUPO_4,SI,3,8.34,N/A
4,0.5663305985,157171,GRUPO_4,SI,4,13.97,N/A
4,0.5903663342,157178,GRUPO_4,SI,4,13.97,N/A
3,0.6208426316,157185,GRUPO_4,SI,3,8.34,N/A
4,0.5169178686,157188,GRUPO_4,SI,4,13.97,N/A
3,0.6389762663,157189,GRUPO_4,SI,3,8.34,N/A
3,0.6718627545,157194,GRUPO_4,SI,3,8.34,N/A
4,0.5905373474,157198,GRUPO_4,SI,4,13.97,N/A
2,0.7120239677,157201,GRUPO_4,SI,2,6.32,N/A
3,0.6961661394,157204,GRUPO_4,SI,3,8.34,N/A
4,0.5840412763,147364,GRUPO_4,SI,4,13.97,N/A
2,0.7120239677,147481,GRUPO_4,SI,2,6.32,N/A
4,0.5510663975,147486,GRUPO_4,SI,4,13.97,N/A
4,0.5840412763,147490,GRUPO_4,SI,4,13.97,N/A
2,0.677919497,153407,GRUPO_5,NO,2,6.32,N/A
3,0.5242626476,153409,GRUPO_5,NO,3,8.34,N/A
3,0.5544542869,153432,GRUPO_5,NO,3,8.34,N/A
5,0.4855261784,153820,GRUPO_2,SI,5,14.2,N/A
5,0.4768666981,153821,GRUPO_2,SI,5,14.2,N/A
6,0.41183098,154057,GRUPO_2,SI,6,23.86,N/A
5,0.4768666981,154061,GRUPO_2,SI,5,14.2,N/A
5,0.4415574294,154217,GRUPO_2,SI,5,14.2,N/A
5,0.4575036164,154329,GRUPO_2,SI,5,14.2,N/A
3,0.621338216,154332,GRUPO_2,SI,3,8.34,N/A
5,0.4768666981,154351,GRUPO_2,SI,5,14.2,N/A
6,0.3849000291,154374,GRUPO_2,SI,6,23.86,N/A
5,0.4661247793,154409,GRUPO_2,SI,5,14.2,N/A
4,0.5569090422,154475,GRUPO_2,SI,4,13.97,N/A
3,0.6294644532,154477,GRUPO_2,SI,3,8.34,N/A
5,0.4855261784,154772,GRUPO_2,SI,5,14.2,N/A
4,0.6148229033,154844,GRUPO_2,SI,4,13.97,N/A
3,0.5178186025,154896,GRUPO_1,NO,3,8.34,N/A
1,0.7020952794,153341,GRUPO_1,NO,1,3.44,N/A
3,0.5993230753,154845,GRUPO_1,NO,3,8.34,N/A
3,0.6158418229,155619,GRUPO_1,NO,3,8.34,N/A
3,0.6157305422,155621,GRUPO_1,NO,3,8.34,N/A
3,0.5115456501,155668,GRUPO_1,NO,3,8.34,N/A
3,0.5043664515,156076,GRUPO_1,NO,3,8.34,N/A
3,0.6726652077,159068,GRUPO_4,SI,3,8.34,N/A
3,0.6389762663,159069,GRUPO_4,SI,3,8.34,N/A
4,0.5729119382,160010,GRUPO_2,SI,4,13.97,N/A
