id_distribuidor,perdida_de_cosecha,inicio_credito,ciclo_credito
120016,0.0,2023-01-13,3
120023,0.0,2023-01-13,3
130978,0.0,2023-01-13,2
108748,0.0,2023-01-16,4
130077,0.0,2023-01-23,2
108672,0.0,2023-01-16,4
108501,0.0,2023-01-16,4
108499,0.0,2023-01-16,4
108479,0.0,2023-01-16,4
130081,0.0,2023-01-23,2
130088,0.0,2023-01-23,2
130078,0.0,2023-01-23,2
130085,0.0,2023-01-23,2
139355,0.0,2023-01-13,1
139502,0.0,2023-01-13,1
139504,0.0,2023-01-13,1
106920,0.0,2023-01-17,4
106886,0.0,2023-01-17,4
117345,0.0,2023-01-17,3
106899,0.0,2023-01-17,3
129501,0.0,2023-01-17,2
139595,0.0,2023-01-18,1
129403,0.0,2023-01-18,2
118742,0.0,2023-01-20,3
139530,0.0,2023-01-18,1
139526,0.0,2023-01-18,1
118606,0.0,2023-01-20,3
130217,0.0,2023-01-20,2
129834,0.0,2023-01-23,2
97780,0.0,2023-01-19,5
129841,0.0,2023-01-23,2
129838,0.0,2023-01-23,2
129839,0.0,2023-01-23,2
129840,0.0,2023-01-23,2
129835,0.0,2023-01-23,2
129836,0.0,2023-01-23,2
98285,0.0,2023-01-19,5
98288,0.0,2023-01-19,5
97777,0.0,2023-01-19,5
98276,0.0,2023-01-19,5
108975,0.0,2023-01-19,4
129845,0.0,2023-01-19,2
129849,0.0,2023-01-19,2
129850,0.0,2023-01-19,2
97568,0.0,2023-01-20,5
140076,0.0,2023-01-20,1
131142,0.0,2023-01-23,2
97552,0.0,2023-01-20,5
97548,0.0,2023-01-20,5
97550,0.0,2023-01-20,5
97564,0.0,2023-01-20,5
117813,0.0,2023-01-20,3
130446,0.0,2023-01-20,2
118774,0.0,2023-02-07,3
118775,0.0,2023-02-07,3
140068,0.0,2023-01-20,1
140196,0.0,2023-01-20,1
131485,0.0,2023-01-23,2
126124,0.0,2023-01-26,2
130193,0.0,2023-01-24,2
100985,0.0,2023-01-24,5
125981,0.0,2023-01-26,2
125990,0.0,2023-01-26,2
126598,0.0,2023-01-26,2
130206,0.0,2023-01-24,2
130205,0.0,2023-01-24,2
130204,0.0,2023-01-24,2
100982,0.0,2023-01-24,5
100990,0.0,2023-01-24,5
131434,0.0,2023-01-24,2
118319,0.0,2023-01-26,3
118335,0.0,2023-01-26,3
118338,0.0,2023-01-26,3
115667,0.0,2023-01-26,3
129517,0.0,2023-01-26,2
139876,0.0,2023-01-30,1
101314,0.0,2023-01-27,5
128953,0.0,2023-01-27,2
131308,0.0,2023-02-06,2
101350,0.0,2023-01-27,5
101320,0.0,2023-01-27,5
101668,0.0,2023-01-27,5
101308,0.0,2023-01-27,5
101401,0.0,2023-01-27,5
101642,0.0,2023-01-27,5
101379,0.0,2023-01-27,5
139882,0.0,2023-01-30,1
139880,0.0,2023-01-30,1
139879,0.0,2023-01-30,1
140334,0.0,2023-01-30,1
119521,0.0,2023-01-27,3
119486,0.0,2023-01-27,3
140815,0.0,2023-01-27,1
132716,0.0,2023-01-27,2
132810,0.0,2023-01-27,2
132334,0.0,2023-01-27,2
130395,0.0,2023-02-06,2
130392,0.0,2023-02-06,2
130394,0.0,2023-02-06,2
140640,0.0,2023-02-06,1
101149,0.0,2023-01-30,5
110678,0.0,2023-01-30,4
101151,0.0,2023-01-30,3
129284,0.0,2023-01-31,2
96812,0.0,2023-02-10,5
131066,0.0,2023-01-31,2
139916,0.0,2023-01-31,1
140152,0.0,2023-01-31,1
139963,0.0,2023-01-31,1
140555,0.0,2023-01-31,1
95170,0.0,2023-02-10,5
140684,0.0,2023-01-31,1
110298,0.0,2023-01-31,10
130170,0.0,2023-01-31,2
131000,0.0,2023-01-31,2
130159,0.0,2023-01-31,2
132218,0.0,2023-02-10,2
107166,0.0,2023-02-01,4
131172,0.0,2023-02-03,2
102775,0.0,2023-02-10,10
98847,0.0,2023-02-01,5
131094,0.0,2023-02-03,2
131079,0.0,2023-02-03,2
131077,0.0,2023-02-03,2
141036,0.0,2023-02-03,1
107486,0.0,2023-02-01,4
