tipoMensaje,leyenda,folioConsulta
2,Respuesta exitosa de otras SIC´s,1167066804
2,Respuesta exitosa de otras SIC´s,1167128091
2,Respuesta exitosa de otras SIC´s,1167139642
2,Respuesta exitosa de otras SIC´s,1166361717
2,Respuesta exitosa de otras SIC´s,1166864815
2,No hit de otras SIC’s,1167160657
2,Respuesta exitosa de otras SIC´s,1166878206
2,Respuesta exitosa de otras SIC´s,1166388121
2,Respuesta exitosa de otras SIC´s,1166950138
2,Respuesta exitosa de otras SIC´s,1167148337
2,Respuesta exitosa de otras SIC´s,1166984437
2,Respuesta exitosa de otras SIC´s,1166888648
2,Respuesta exitosa de otras SIC´s,1166897001
2,Respuesta exitosa de otras SIC´s,1166879274
2,Respuesta exitosa de otras SIC´s,1167132695
2,Error en los datos de domicilio proporcionados,1167242975
2,Respuesta exitosa de otras SIC´s,1167157806
2,No hit de otras SIC’s,1166502669
2,Respuesta exitosa de otras SIC´s,1167083233
2,Respuesta exitosa de otras SIC´s,1166399027
2,Respuesta exitosa de otras SIC´s,1166549975
2,Respuesta exitosa de otras SIC´s,1166568805
2,Respuesta exitosa de otras SIC´s,1167132165
2,Respuesta exitosa de otras SIC´s,1166895082
2,Respuesta exitosa de otras SIC´s,1166269370
2,Respuesta exitosa de otras SIC´s,1166880215
2,Respuesta exitosa de otras SIC´s,1166880725
2,Respuesta exitosa de otras SIC´s,1166950175
2,Respuesta exitosa de otras SIC´s,1166951047
2,Respuesta exitosa de otras SIC´s,1166503925
2,Respuesta exitosa de otras SIC´s,1167010322
2,Respuesta exitosa de otras SIC´s,1166872944
2,Respuesta exitosa de otras SIC´s,1167022271
2,Respuesta exitosa de otras SIC´s,1167000311
2,Respuesta exitosa de otras SIC´s,1166999974
2,Respuesta exitosa de otras SIC´s,1166895031
2,Respuesta exitosa de otras SIC´s,1166557426
2,Respuesta exitosa de otras SIC´s,1166932901
2,Respuesta exitosa de otras SIC´s,1167293546
2,Respuesta exitosa de otras SIC´s,1167289760
2,Respuesta exitosa de otras SIC´s,1167303410
2,Respuesta exitosa de otras SIC´s,1167312521
2,Respuesta exitosa de otras SIC´s,1167321361
2,Respuesta exitosa de otras SIC´s,1167568067
2,Respuesta exitosa de otras SIC´s,1167575322
2,Respuesta exitosa de otras SIC´s,1167571353
2,Respuesta exitosa de otras SIC´s,1167584952
2,Respuesta exitosa de otras SIC´s,1167605043
2,Respuesta exitosa de otras SIC´s,1167625524
2,Respuesta exitosa de otras SIC´s,1167638874
2,Respuesta exitosa de otras SIC´s,1167675984
2,Respuesta exitosa de otras SIC´s,1167677843
2,Respuesta exitosa de otras SIC´s,1167676992
2,Respuesta exitosa de otras SIC´s,1167680183
2,Respuesta exitosa de otras SIC´s,1167678727
2,Respuesta exitosa de otras SIC´s,1167719533
2,Respuesta exitosa de otras SIC´s,1167735384
2,Respuesta exitosa de otras SIC´s,1167742774
2,Respuesta exitosa de otras SIC´s,1167746893
2,Respuesta exitosa de otras SIC´s,1169268233
2,Respuesta exitosa de otras SIC´s,1169253687
2,Respuesta exitosa de otras SIC´s,1169280394
2,Respuesta exitosa de otras SIC´s,1169280819
2,Respuesta exitosa de otras SIC´s,1169281972
2,Respuesta exitosa de otras SIC´s,1169281587
2,Respuesta exitosa de otras SIC´s,1169313580
2,Respuesta exitosa de otras SIC´s,1169349871
2,Respuesta exitosa de otras SIC´s,1169362431
2,Respuesta exitosa de otras SIC´s,1169364410
2,Respuesta exitosa de otras SIC´s,1169380260
2,Respuesta exitosa de otras SIC´s,1169391593
2,Respuesta exitosa de otras SIC´s,1169387646
2,Respuesta exitosa de otras SIC´s,1169395821
2,Respuesta exitosa de otras SIC´s,1169385971
2,Respuesta exitosa de otras SIC´s,1169380815
2,Respuesta exitosa de otras SIC´s,1169401423
2,Respuesta exitosa de otras SIC´s,1169428916
2,Respuesta exitosa de otras SIC´s,1169448198
2,Respuesta exitosa de otras SIC´s,1169457561
2,Respuesta exitosa de otras SIC´s,1169461615
