id_distribuidor,id_red,id_operacion,tipo_prestamo,fecha_cierre,fecha_de_dispersion,saldo,capital_pagado,capital_pendiente,dias_atraso,fecha,status,convenio,fecha_inicio_relacion,reestructurado,pagos_anticipados_u4p,pagos_en_tiempo_u4p,pagos_destiempo_u4p,pagos_pendientes_u4p,folio
169239,169239,172348,LINEA,2024-01-31,2023-12-13,25702,13229.8,18770.16,0,2024-03-15,DISTRIBUIDOR,NO,2023-11-28,NO,0.0,2.0,1.0,1.0,1278752802
169239,169239,172348,LINEA,2024-01-31,2023-12-13,20735,10067.11,14932.89,0,2024-02-29,DISTRIBUIDOR,NO,2023-11-28,NO,0.0,3.0,0.0,1.0,1278752802
169239,169239,172348,LINEA,2024-01-31,2023-12-13,20935,7383.28,14616.71,0,2024-02-15,DISTRIBUIDOR,NO,2023-11-28,NO,1.0,2.0,0.0,1.0,1278752802
169239,169239,172348,LINEA,2024-01-31,2023-12-13,21145,4194.99,14804.96,0,2024-01-31,DISTRIBUIDOR,NO,2023-11-28,NO,1.0,1.0,0.0,1.0,1278752802
169239,169239,172348,LINEA,2024-01-31,2023-12-13,19005,1632.88,13367.04,0,2023-12-31,DISTRIBUIDOR,NO,2023-11-28,NO,1.0,0.0,0.0,0.0,1278752802
169239,169239,172348,LINEA,2024-01-31,2023-12-13,21390,1632.88,14867.03,0,2024-01-15,DISTRIBUIDOR,NO,2023-11-28,NO,1.0,0.0,0.0,1.0,1278752802
169239,169239,172348,LINEA,2024-01-31,2023-12-13,2625,0.0,2000.01,0,2023-12-15,DISTRIBUIDOR,NO,2023-11-28,NO,0.0,0.0,0.0,0.0,1278752802
167423,171125,171130,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,99,2024-03-15,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1264040848
167423,171125,171130,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,55,2024-01-31,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1264040848
167423,171125,171130,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,24,2023-12-31,DISTRIBUIDOR RED,NO,2023-11-30,NO,0.0,0.0,0.0,4.0,1264040848
167423,171125,171130,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,39,2024-01-15,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1264040848
167423,171125,171130,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,8,2023-12-15,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1264040848
167423,171125,171130,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,0,2023-11-30,DISTRIBUIDOR RED,NO,2023-11-30,NO,0.0,0.0,0.0,0.0,1264040848
167045,171125,171128,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,99,2024-03-15,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1260571152
167045,171125,171128,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,55,2024-01-31,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1260571152
167045,171125,171128,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,24,2023-12-31,DISTRIBUIDOR RED,NO,2023-11-30,NO,0.0,0.0,0.0,4.0,1260571152
167045,171125,171128,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,39,2024-01-15,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1260571152
167045,171125,171128,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,8,2023-12-15,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1260571152
167045,171125,171128,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,0,2023-11-30,DISTRIBUIDOR RED,NO,2023-11-30,NO,0.0,0.0,0.0,0.0,1260571152
166922,171125,171127,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,39,2024-01-15,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1259743646
166922,171125,171127,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,0,2023-11-30,DISTRIBUIDOR RED,NO,2023-11-30,NO,0.0,0.0,0.0,0.0,1259743646
166922,171125,171127,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,8,2023-12-15,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1259743646
166922,171125,171127,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,24,2023-12-31,DISTRIBUIDOR RED,NO,2023-11-30,NO,0.0,0.0,0.0,4.0,1259743646
166922,171125,171127,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,55,2024-01-31,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1259743646
166922,171125,171127,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,99,2024-03-15,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1259743646
166913,171125,171126,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,99,2024-03-15,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1259742923
166913,171125,171126,PRESTAMO PERSONAL RED,2024-01-11,2023-11-30,47910,0.0,42212.2,55,2024-01-31,DISTRIBUIDOR RED,NO,2023-11-30,NO,,,,,1259742923
