ID DIST.,probs,grupo
1,80.19,2
19,8.850000000000001,10
29,7.950000000000001,10
38,17.770000000000003,9
51,98.7,1
56,37.16,6
68,98.6,1
72,68.57,3
74,26.07,8
84,52.970000000000006,5
88,29.77,7
102,98.9,1
116,99.1,1
118,27.58,7
119,8.15,10
181,98.8,1
182,41.01,6
189,99.5,1
196,57.06,4
206,98.5,1
215,99.4,1
222,59.46,4
241,99.2,1
247,70.37,3
263,73.18,2
276,99.5,1
288,98.8,1
300,99.2,1
301,25.79,8
310,17.67,9
312,98.9,1
340,42.63,6
354,99.0,1
433,30.81,7
455,98.7,1
475,98.6,1
480,99.1,1
510,99.6,1
514,99.6,1
527,99.5,1
532,51.37,5
573,34.47,7
574,74.8,2
576,99.2,1
578,35.95,7
609,53.77,5
684,80.69,2
769,17.17,9
796,80.39,2
797,99.3,1
804,99.2,1
811,61.69,4
925,44.32,6
948,53.17,5
999,98.5,1
1020,99.1,1
1037,35.43,7
1038,69.63,3
1041,22.66,8
1116,17.470000000000002,9
1152,99.6,1
1179,99.7,1
1184,33.97,7
1185,80.89,2
1208,99.7,1
1209,35.78,7
1277,99.9,1
1285,80.99000000000001,2
1301,99.1,1
1304,98.6,1
1320,63.2,3
1359,63.25,3
1362,20.85,8
1403,99.6,1
1422,43.09,6
1449,47.85,5
1473,68.78,3
1864,51.91,5
1921,61.69,4
1922,56.17,4
1950,99.4,1
2036,99.6,1
2068,33.7,7
2080,62.69,4
2093,62.89,4
2174,98.9,1
2230,99.6,1
2271,99.0,1
2318,17.07,9
2420,79.89,2
2453,53.17,5
2465,99.2,1
2499,26.02,8
2560,17.270000000000003,9
2561,46.8,5
2564,99.4,1
2565,69.15,3
2567,17.470000000000002,9
2577,17.57,9
2578,99.9,1
2580,99.2,1
2581,62.589999999999996,4
2584,18.07,9
2594,99.4,1
2599,47.68,5
2606,53.27,5
2607,53.77,5
2608,98.8,1
2615,70.76,3
2683,27.05,8
2707,17.270000000000003,9
2710,98.5,1
2712,99.8,1
2718,98.8,1
2721,8.65,10
2722,80.29,2
2737,99.4,1
2741,16.970000000000002,9
2743,45.03,6
2744,42.72,6
2748,17.770000000000003,9
2750,99.4,1
2756,16.67,9
2759,98.6,1
2766,31.08,7
2783,98.8,1
2808,53.67,5
2855,53.07,5
2858,99.9,1
2863,8.950000000000001,10
2908,16.970000000000002,9
2925,60.5,4
2934,60.71,4
2936,99.3,1
2945,99.2,1
2947,52.77,5
2980,53.77,5
2982,16.67,9
3000,71.46000000000001,3
3010,99.3,1
3014,99.6,1
3054,49.64,5
3055,67.45,3
3056,53.470000000000006,5
3074,98.7,1
3086,71.86,3
3089,39.72,6
3094,52.99,5
3097,72.41,2
3112,53.27,5
3113,98.7,1
3123,53.07,5
3168,99.7,1
3185,99.6,1
3210,71.1,3
3226,16.67,9
3227,20.33,8
3231,17.67,9
3242,16.970000000000002,9
3249,98.7,1
3305,17.87,9
3309,16.970000000000002,9
3328,21.92,8
3362,99.7,1
3363,16.770000000000003,9
3368,17.470000000000002,9
3369,99.2,1
3434,98.8,1
3438,98.7,1
3444,99.0,1
3453,99.1,1
3460,99.3,1
3474,99.8,1
3475,71.56,3
3481,99.6,1
3487,53.370000000000005,5
3488,17.57,9
3498,99.1,1
3499,99.9,1
3505,31.62,7
3506,54.07,5
3552,17.770000000000003,9
3583,26.84,8
3592,99.7,1
3641,99.3,1
3670,99.3,1
3673,41.37,6
3690,99.1,1
3698,98.5,1
3722,70.96,3
3753,17.970000000000002,9
3782,98.9,1
3788,64.73,3
3807,17.770000000000003,9
3810,99.9,1
3820,16.770000000000003,9
3824,60.32,4
3832,17.17,9
3833,71.16,3
3838,99.2,1
3841,62.489999999999995,4
3868,99.2,1
3908,16.970000000000002,9
3961,62.44,4
3962,99.8,1
3969,17.270000000000003,9
3991,62.089999999999996,4
3998,35.18,7
4020,55.75,4
4038,99.6,1
4040,53.17,5
4054,99.5,1
4063,17.470000000000002,9
4064,98.8,1
4067,16.67,9
4071,99.3,1
4078,17.470000000000002,9
4085,16.67,9
4135,99.1,1
4140,75.25,2
4141,41.97,6
4181,53.07,5
4182,99.1,1
4195,98.7,1
4197,17.37,9
4211,17.270000000000003,9
4213,16.87,9
4220,33.18,7
4233,98.9,1
4414,62.29,4
4418,98.9,1
4454,99.4,1
4463,98.8,1
4465,68.12,3
4466,99.9,1
4506,99.5,1
4512,51.84,5
4532,48.37,5
4533,98.7,1
4536,26.32,8
4537,16.770000000000003,9
4538,29.96,7
4555,99.1,1
4584,37.47,6
4609,99.6,1
4620,99.1,1
4645,80.49000000000001,2
4688,99.1,1
4708,98.9,1
4721,24.64,8
4722,8.350000000000001,10
4731,99.4,1
4732,99.3,1
4737,7.65,10
4747,36.04,7
4748,98.5,1
4752,53.67,5
4759,99.2,1
4806,99.7,1
4816,98.9,1
4824,71.76,3
4826,99.8,1
4835,8.25,10
4853,98.9,1
4854,7.65,10
4862,33.57,7
4875,58.59,4
4905,53.14,5
4908,17.470000000000002,9
4913,99.7,1
4923,98.9,1
4939,56.28,4
4954,16.970000000000002,9
4956,78.95,2
4984,32.79,7
5147,99.7,1
5161,36.68,6
5168,99.6,1
5172,18.07,9
5198,68.11,3
5227,99.3,1
5230,99.6,1
5231,68.33,3
5236,8.05,10
5252,99.4,1
5253,99.6,1
5261,17.87,9
5266,62.69,4
5269,99.3,1
5303,29.97,7
5310,60.63,4
5328,99.4,1
5331,53.57,5
5340,17.770000000000003,9
5347,99.9,1
5349,61.85,4
5350,39.53,6
5351,62.989999999999995,4
5352,99.2,1
5372,17.470000000000002,9
5382,99.7,1
5386,98.6,1
5416,98.6,1
5428,54.17,5
5566,99.4,1
5569,99.8,1
5570,98.6,1
5604,53.870000000000005,5
5608,98.5,1
5616,98.7,1
5676,98.6,1
5686,48.08,5
5708,8.65,10
5724,99.5,1
5728,99.8,1
5737,99.2,1
5738,62.89,4
5788,99.5,1
5790,16.87,9
5812,98.5,1
5816,57.14,4
5830,99.5,1
5840,69.75,3
5842,17.37,9
5846,98.9,1
5882,98.9,1
5886,17.67,9
5907,98.6,1
5908,99.0,1
5921,71.84,3
5930,99.1,1
5937,99.5,1
5950,98.8,1
5958,99.2,1
6015,70.58,3
6080,52.29,5
6085,79.99000000000001,2
6117,98.6,1
6136,98.9,1
6218,62.589999999999996,4
6221,99.0,1
6223,99.0,1
6260,17.470000000000002,9
6273,99.7,1
6275,53.12,5
6277,67.59,3
6319,99.9,1
6351,64.59,3
6379,71.36,3
6380,69.45,3
6399,8.950000000000001,10
6416,22.14,8
6423,44.85,6
6427,99.9,1
6446,78.62,2
6461,17.07,9
6506,98.7,1
6565,8.55,10
6568,53.57,5
6588,34.17,7
6601,42.22,6
6607,99.5,1
6611,98.9,1
6632,98.6,1
6684,69.75,3
6686,53.370000000000005,5
6708,99.6,1
6721,80.69,2
6723,41.14,6
6728,99.6,1
6745,99.6,1
6774,62.19,4
6796,99.7,1
6801,99.6,1
6807,62.79,4
6809,99.7,1
6814,58.57,4
6815,60.11,4
6857,99.4,1
6858,99.2,1
6903,98.5,1
6970,26.82,8
7056,99.0,1
7103,99.8,1
7104,99.9,1
7108,98.9,1
7158,99.6,1
7161,17.270000000000003,9
7164,98.8,1
7201,17.07,9
7208,51.24,5
7254,98.9,1
7257,98.9,1
7308,98.7,1
7326,99.4,1
7374,99.9,1
7393,99.5,1
7426,99.1,1
7454,99.9,1
7458,98.8,1
7482,98.7,1
7484,99.1,1
7534,31.12,7
7535,23.84,8
7536,18.07,9
7550,99.9,1
7566,62.589999999999996,4
7573,99.1,1
7608,34.39,7
7656,61.989999999999995,4
7684,99.8,1
7702,66.77,3
7703,99.9,1
7761,98.5,1
7907,98.6,1
7913,99.5,1
7921,28.96,7
7922,17.770000000000003,9
8014,99.8,1
8078,98.6,1
8082,98.6,1
8101,99.9,1
8102,98.8,1
8151,99.4,1
8171,54.31,4
8177,7.8500000000000005,10
8186,8.25,10
8188,60.87,4
8211,17.270000000000003,9
8237,99.5,1
8238,99.1,1
8265,53.17,5
8276,79.89,2
8301,8.15,10
8309,98.5,1
8319,98.9,1
8320,99.2,1
8369,71.56,3
8378,98.7,1
8381,16.67,9
8386,98.8,1
8408,99.2,1
8414,7.65,10
8439,99.1,1
8442,98.6,1
8466,53.77,5
8488,99.7,1
8512,99.1,1
8514,98.7,1
8541,53.370000000000005,5
8547,38.43,6
8574,99.6,1
8580,99.2,1
8583,53.27,5
8585,17.67,9
8615,8.850000000000001,10
8632,99.0,1
8633,98.6,1
8664,24.49,8
8679,52.77,5
8682,99.7,1
8684,98.8,1
8689,99.0,1
8715,72.25,2
8740,36.82,6
8755,7.8500000000000005,10
8771,99.2,1
8774,99.6,1
8784,98.9,1
8797,66.19,3
8801,99.0,1
8803,71.06,3
8805,44.15,6
8811,17.37,9
8816,37.24,6
8828,80.49000000000001,2
8863,99.9,1
8865,67.44,3
8866,73.95,2
8869,99.5,1
8951,99.9,1
8957,7.65,10
8959,58.13,4
8964,99.1,1
8966,99.6,1
8977,99.9,1
8978,23.66,8
8994,99.4,1
8999,53.970000000000006,5
9015,27.99,7
9031,99.9,1
9036,17.67,9
9038,54.17,5
9047,44.3,6
9199,99.9,1
9217,99.0,1
9338,53.870000000000005,5
9465,98.5,1
9466,27.369999999999997,8
9469,62.489999999999995,4
9475,99.9,1
9517,17.57,9
9519,99.7,1
9530,99.1,1
9556,72.42,2
9557,98.9,1
9572,46.62,5
9581,43.45,6
9590,48.67,5
9624,78.46,2
9639,98.5,1
9642,99.9,1
9662,17.67,9
9664,99.4,1
9677,61.79,4
9707,53.66,5
9709,53.17,5
9718,98.9,1
9719,66.32,3
9721,22.75,8
9728,17.270000000000003,9
9737,71.86,3
9750,99.7,1
9775,61.68,4
9786,18.07,9
9813,99.3,1
9815,98.7,1
9828,67.59,3
9866,71.16,3
9891,54.17,5
9923,98.6,1
9944,98.7,1
9957,99.3,1
9963,99.6,1
10005,98.8,1
10009,99.6,1
10013,98.7,1
10028,17.270000000000003,9
10041,99.2,1
10119,56.01,4
10158,99.9,1
10173,99.1,1
10181,99.6,1
10183,22.2,8
10188,27.1,8
10238,62.79,4
10246,53.57,5
10271,76.9,2
10272,78.85,2
10281,79.56,2
10285,61.69,4
10334,99.1,1
10359,80.79,2
10372,99.3,1
10416,99.2,1
10417,71.36,3
10419,99.5,1
10421,98.8,1
10457,99.2,1
10460,16.67,9
10461,98.7,1
10464,99.0,1
10466,98.8,1
10471,26.75,8
10502,62.89,4
10514,17.07,9
10533,17.07,9
10536,99.1,1
10537,36.45,6
10563,99.9,1
10572,80.89,2
10725,98.5,1
10726,71.36,3
10756,53.77,5
10803,99.6,1
10871,79.69,2
10932,46.58,5
10933,99.6,1
10954,99.6,1
10957,17.970000000000002,9
11038,98.6,1
11039,52.98,5
11040,40.51,6
11065,70.96000000000001,3
11073,54.82,4
11103,58.17,4
11104,98.9,1
11115,98.6,1
11118,74.78,2
11128,23.66,8
11129,99.8,1
11131,99.1,1
11145,98.5,1
11306,53.67,5
11311,24.2,8
11332,98.5,1
11345,50.0,5
11359,75.91,2
11364,99.8,1
11398,99.8,1
11429,98.9,1
11476,99.4,1
11479,31.64,7
11481,16.970000000000002,9
11492,99.3,1
11577,50.66,5
11651,98.9,1
11655,62.089999999999996,4
11752,99.2,1
11779,98.9,1
11786,17.37,9
11792,47.75,5
11902,49.73,5
11981,70.96000000000001,3
11996,99.1,1
12003,63.089999999999996,4
12008,99.6,1
12011,99.2,1
12075,70.76,3
12100,99.3,1
12148,66.66,3
12168,98.7,1
12221,98.7,1
12232,99.8,1
12278,17.37,9
12279,47.1,5
12288,99.1,1
12311,16.87,9
12315,16.770000000000003,9
12319,35.46,7
12337,22.96,8
12365,71.56,3
12402,99.6,1
12428,99.3,1
12436,54.07,5
12439,32.79,7
12452,8.75,10
12507,99.6,1
12590,52.77,5
12598,46.74,5
12695,8.65,10
12718,99.8,1
12771,79.89,2
12845,98.8,1
12863,99.1,1
12897,99.6,1
12974,80.49000000000001,2
12984,99.1,1
12992,34.81,7
13036,98.7,1
13061,99.1,1
13064,98.8,1
13066,16.970000000000002,9
13078,70.56,3
13084,99.4,1
13110,17.770000000000003,9
13125,17.67,9
13185,99.4,1
13193,53.870000000000005,5
13198,76.07,2
13221,17.67,9
13231,69.9,3
13235,65.08,3
13266,99.8,1
13277,46.56,5
13292,99.3,1
13293,99.7,1
13298,98.9,1
13308,45.92,5
13309,99.7,1
13310,45.12,5
13321,64.28,3
13330,99.6,1
13333,74.28,2
13355,99.5,1
13436,44.14,6
13444,99.2,1
13471,44.03,6
13479,8.950000000000001,10
13489,99.1,1
13513,56.74,4
13537,98.8,1
13544,99.5,1
13560,17.67,9
13566,98.5,1
13634,37.06,6
13635,52.870000000000005,5
13636,54.17,5
13668,99.4,1
13671,99.7,1
13718,28.77,7
13845,66.22,3
13865,98.6,1
