,id_distribuidor,probs,grupo,cosecha_canasta
0,1,0.8019,2,3.4
1,19,0.0885,10,22.69
2,29,0.0795,10,22.69
3,38,0.1777,9,20.33
4,51,0.987,1,1.54
5,56,0.3716,6,11.87
6,68,0.986,1,1.54
7,72,0.6857,3,4.97
8,74,0.2607,8,12.68
9,84,0.5297000000000001,5,10.69
10,88,0.2977,7,12.35
11,102,0.989,1,1.54
12,116,0.991,1,1.54
13,118,0.2758,7,12.35
14,119,0.0815,10,22.69
15,181,0.988,1,1.54
16,182,0.4100999999999999,6,11.87
17,189,0.995,1,1.54
18,196,0.5706,4,7.38
19,206,0.985,1,1.54
20,215,0.994,1,1.54
21,222,0.5946,4,7.38
22,241,0.992,1,1.54
23,247,0.7037,3,4.97
24,263,0.7318000000000001,2,3.4
25,276,0.995,1,1.54
26,288,0.988,1,1.54
27,300,0.992,1,1.54
28,301,0.2579,8,12.68
29,310,0.1767,9,20.33
30,312,0.989,1,1.54
31,340,0.4263,6,11.87
32,354,0.99,1,1.54
33,433,0.3081,7,12.35
34,455,0.987,1,1.54
35,475,0.986,1,1.54
36,480,0.991,1,1.54
37,510,0.996,1,1.54
38,514,0.996,1,1.54
39,527,0.995,1,1.54
40,532,0.5136999999999999,5,10.69
41,573,0.3447,7,12.35
42,574,0.748,2,3.4
43,576,0.992,1,1.54
44,578,0.3595,7,12.35
45,609,0.5377000000000001,5,10.69
46,684,0.8069,2,3.4
47,769,0.1717,9,20.33
48,796,0.8039000000000001,2,3.4
49,797,0.993,1,1.54
50,804,0.992,1,1.54
51,811,0.6169,4,7.38
52,925,0.4432,6,11.87
53,948,0.5317000000000001,5,10.69
54,999,0.985,1,1.54
55,1020,0.991,1,1.54
56,1037,0.3543,7,12.35
57,1038,0.6962999999999999,3,4.97
58,1041,0.2266,8,12.68
59,1116,0.1747,9,20.33
60,1152,0.996,1,1.54
61,1179,0.997,1,1.54
62,1184,0.3397,7,12.35
63,1185,0.8089,2,3.4
64,1208,0.997,1,1.54
65,1209,0.3578,7,12.35
66,1277,0.999,1,1.54
67,1285,0.8099000000000001,2,3.4
68,1301,0.991,1,1.54
69,1304,0.986,1,1.54
70,1320,0.632,3,4.97
71,1359,0.6325,3,4.97
72,1362,0.2085,8,12.68
73,1403,0.996,1,1.54
74,1422,0.4309,6,11.87
75,1449,0.4785,5,10.69
76,1473,0.6878,3,4.97
77,1864,0.5191,5,10.69
78,1921,0.6169,4,7.38
79,1922,0.5617,4,7.38
80,1950,0.994,1,1.54
81,2036,0.996,1,1.54
82,2068,0.337,7,12.35
83,2080,0.6269,4,7.38
84,2093,0.6289,4,7.38
85,2174,0.989,1,1.54
86,2230,0.996,1,1.54
87,2271,0.99,1,1.54
88,2318,0.1707,9,20.33
89,2420,0.7989,2,3.4
90,2453,0.5317000000000001,5,10.69
91,2465,0.992,1,1.54
92,2499,0.2602,8,12.68
93,2560,0.1727,9,20.33
94,2561,0.4679999999999999,5,10.69
95,2564,0.994,1,1.54
96,2565,0.6915,3,4.97
97,2567,0.1747,9,20.33
98,2577,0.1757,9,20.33
99,2578,0.999,1,1.54
100,2580,0.992,1,1.54
101,2581,0.6259,4,7.38
102,2584,0.1807,9,20.33
103,2594,0.994,1,1.54
104,2599,0.4768,5,10.69
105,2606,0.5327000000000001,5,10.69
106,2607,0.5377000000000001,5,10.69
107,2608,0.988,1,1.54
108,2615,0.7076,3,4.97
109,2683,0.2705,8,12.68
110,2707,0.1727,9,20.33
111,2710,0.985,1,1.54
112,2712,0.998,1,1.54
113,2718,0.988,1,1.54
114,2721,0.0865,10,22.69
115,2722,0.8029000000000001,2,3.4
116,2737,0.994,1,1.54
117,2741,0.1697,9,20.33
118,2743,0.4503,6,11.87
119,2744,0.4271999999999999,6,11.87
120,2748,0.1777,9,20.33
121,2750,0.994,1,1.54
122,2756,0.1667,9,20.33
123,2759,0.986,1,1.54
124,2766,0.3107999999999999,7,12.35
125,2783,0.988,1,1.54
126,2808,0.5367000000000001,5,10.69
127,2855,0.5307,5,10.69
128,2858,0.999,1,1.54
129,2863,0.0895,10,22.69
130,2908,0.1697,9,20.33
131,2925,0.605,4,7.38
132,2934,0.6071,4,7.38
133,2936,0.993,1,1.54
134,2945,0.992,1,1.54
135,2947,0.5277000000000001,5,10.69
136,2980,0.5377000000000001,5,10.69
137,2982,0.1667,9,20.33
138,3000,0.7146000000000001,3,4.97
139,3010,0.993,1,1.54
140,3014,0.996,1,1.54
141,3054,0.4964,5,10.69
142,3055,0.6745,3,4.97
143,3056,0.5347000000000001,5,10.69
144,3074,0.987,1,1.54
145,3086,0.7186,3,4.97
146,3089,0.3972,6,11.87
147,3094,0.5299,5,10.69
148,3097,0.7241,2,3.4
149,3112,0.5327000000000001,5,10.69
150,3113,0.987,1,1.54
151,3123,0.5307,5,10.69
152,3168,0.997,1,1.54
153,3185,0.996,1,1.54
154,3210,0.711,3,4.97
155,3226,0.1667,9,20.33
156,3227,0.2032999999999999,8,12.68
157,3231,0.1767,9,20.33
158,3242,0.1697,9,20.33
159,3249,0.987,1,1.54
160,3305,0.1787,9,20.33
161,3309,0.1697,9,20.33
162,3328,0.2192,8,12.68
163,3362,0.997,1,1.54
164,3363,0.1677,9,20.33
165,3368,0.1747,9,20.33
166,3369,0.992,1,1.54
