fecha,conteo_registros
2024-01-02,17271
2024-01-03,17265
2024-01-04,17278
2024-01-05,17299
2024-01-06,17299
2024-01-08,17306
2024-01-09,17309
2024-01-10,17317
2024-01-11,17325
2024-01-12,17335
2024-01-13,17341
2024-01-14,17341
2024-01-15,17349
2024-01-16,17362
2024-01-17,17378
2024-01-18,17387
2024-01-19,17399
2024-01-20,17400
2024-01-21,17400
2024-01-22,17416
2024-01-23,17439
2024-01-24,17455
2024-01-25,17466
2024-01-26,17492
2024-01-27,17502
2024-01-28,17502
2024-01-29,17510
2024-01-30,17534
2024-01-31,17582
2024-02-01,17582
2024-02-02,17585
2024-02-03,17585
2024-02-04,13630
2024-02-05,13630
2024-02-06,13631
2024-02-07,13631
2024-02-08,13631
2024-02-09,13644
2024-02-10,13644
2024-02-11,13644
2024-02-12,13650
2024-02-13,13660
2024-02-14,13661
2024-02-15,13681
2024-02-16,17692
2024-02-17,13692
2024-02-18,13692
2024-02-19,13712
2024-02-20,17729
2024-02-21,13733
2024-02-22,13751
2024-02-23,17800
2024-02-24,13767
2024-02-25,13767
2024-02-26,13788
2024-02-27,13812
2024-02-28,13835
2024-02-29,13885
2024-03-01,4107
2024-03-02,4107
2024-03-03,4107
2024-03-04,4110
2024-03-05,4111
2024-03-06,4121
2024-03-07,4128
2024-03-08,4136
2024-03-10,4136
2024-03-11,18130
2024-03-12,13985
